LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Warrnambool (C),VIC179,35181,0,13,0,0,0,Warrnambool,27/09/2020,28/09/2020
Wellington (S),VIC218,44380,0,15,0,0,0,Wellington,27/09/2020,28/09/2020
West Wimmera (S),VIC232,3841,0,1,0,0,0,West Wimmera,27/09/2020,28/09/2020
Whitehorse (C),VIC196,178739,2,207,1.1,0,1,Whitehorse,27/09/2020,28/09/2020
Whittlesea (C),VIC197,230238,10,1201,4.3,0,1,Whittlesea,27/09/2020,28/09/2020
Wodonga (RC),VIC192,42083,0,2,0,0,0,Wodonga,27/09/2020,28/09/2020
Wyndham (C),VIC221,270487,54,2263,20,1,2,Wyndham,27/09/2020,28/09/2020
Yarra (C),VIC202,101495,4,459,3.9,0,1,Yarra,27/09/2020,28/09/2020
Yarra Ranges (S),VIC206,159462,2,252,1.3,0,1,Yarra Ranges,27/09/2020,28/09/2020
Yarriambiack (S),VIC200,6639,0,1,0,0,0,Yarriambiack,27/09/2020,28/09/2020
